City,Locality,Restaurant_Count,Avg_Rating,Avg_Cost_INR,Avg_Price_Range,Total_Votes,Most_Common_Cuisine
Noida,Sector 38,13,1.9769230769230768,476.9230769230769,1.5384615384615385,471,Fast Food
Noida,Sector 34,13,1.8615384615384616,500.0,1.5384615384615385,192,North Indian
New Delhi,Sarojini Nagar,13,1.5307692307692307,292.3076923076923,1.1538461538461537,475,Street Food
Noida,Sector 58,13,1.1538461538461537,338.46153846153845,1.3076923076923077,76,North Indian
Pensacola,Pensacola,12,4.2,2743.0375,2.25,10585,Italian
Lucknow,Gomti Nagar,12,4.116666666666666,795.8333333333334,2.5,3910,Cafe
New Delhi,Chawri Bazar,12,3.8000000000000003,162.5,1.0,1410,Street Food
New Delhi,"DLF Place Mall, Saket",12,3.6999999999999997,937.5,2.0833333333333335,5920,North Indian
New Delhi,"Ambience Mall, Vasant Kunj",12,3.4250000000000003,983.3333333333334,2.4166666666666665,2460,Chinese
Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",12,2.5666666666666664,733.3333333333334,2.0833333333333335,1603,Fast Food
Gurgaon,Sector 23,12,2.1750000000000003,612.5,1.8333333333333333,332,North Indian
Noida,Sector 63,12,0.43333333333333335,375.0,1.25,18,North Indian
New Delhi,Ashok Vihar Phase 3,11,3.3909090909090907,500.0,1.6363636363636365,485,North Indian
Faridabad,Sector 86,11,3.1727272727272724,509.09090909090907,1.7272727272727273,214,North Indian
Gurgaon,Sector 15,11,3.0090909090909093,490.90909090909093,1.5454545454545454,127,Chinese
Noida,Sector 16,11,2.190909090909091,550.0,1.6363636363636365,1975,Chinese
Faridabad,Sector 43,11,1.0727272727272728,359.09090909090907,1.3636363636363635,29,North Indian
Macon,Macon,10,4.3100000000000005,3100.825,2.3,2972,Sandwich
New Delhi,Pandara Road Market,10,3.8600000000000003,1110.0,2.4,7978,North Indian
Gurgaon,"Central Plaza Mall, Golf Course Road",10,3.5,760.0,2.0,1214,Fast Food
Gurgaon,Sector 7,10,3.2399999999999998,410.0,1.4,431,North Indian
New Delhi,Model Town 3,10,3.0100000000000002,465.0,1.4,571,North Indian
Faridabad,Sector 17,10,2.63,490.0,1.6,323,Chinese
New Delhi,Nizamuddin,10,2.56,455.0,1.3,995,Mughlai
New Delhi,JNU,10,2.5100000000000002,325.0,1.2,610,North Indian
Noida,Sector 48,10,2.29,460.0,1.5,116,Fast Food
Gurgaon,DLF Phase 2,10,0.38,370.0,1.3,300,North Indian
